[2026-07-19 09:48:14,714][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,105][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,143][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,227][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,257][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,355][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,684][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,741][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,780][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,873][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,914][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:15,977][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:16,203][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:16,254][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:16,508][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:16,579][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:16,909][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:16,989][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:17,213][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:17,272][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:18,639][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:18,711][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:19,287][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:19,373][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:19,610][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:19,679][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:19,712][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:19,784][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:20,336][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:20,404][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:20,433][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:20,518][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:20,764][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:20,870][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:21,554][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:21,636][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:21,659][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:21,742][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:22,177][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:22,254][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:23,731][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:23,800][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:24,154][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:24,261][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:24,692][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:24,771][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:24,803][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:24,875][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:25,611][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:25,677][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:25,885][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:25,955][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:27,104][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:27,199][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:27,225][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:27,306][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:27,540][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:27,604][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:27,629][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:27,682][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:27,707][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:27,783][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:28,210][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:28,287][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:28,327][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:28,419][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:28,794][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:28,876][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:28,902][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:28,981][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:29,329][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:29,400][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:30,949][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,033][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,059][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,131][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,160][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,221][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,437][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,468][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,698][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,783][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,829][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:31,908][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:32,400][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:32,494][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:32,893][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:32,969][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,016][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,099][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,123][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,191][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,220][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,315][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,345][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,421][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,451][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,534][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,571][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,655][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,684][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,755][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:33,999][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:34,094][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:34,147][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:34,258][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:34,287][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:34,369][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:35,146][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:35,264][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:35,865][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:35,982][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:36,926][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,006][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,045][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,126][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,154][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,233][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,261][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,350][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,388][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,460][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,721][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,800][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,824][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,889][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:37,915][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:38,004][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:38,031][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:38,100][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:38,122][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:38,189][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:38,486][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:38,561][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:38,584][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:38,655][faster_whisper][INFO] - Processing audio with duration 00:09.996
[2026-07-19 09:48:38,679][faster_whisper][INFO] - Processing audio with duration 00:09.996
